a, b, a
a, b, e
a, b, i
a, b, o
a, b, s
a, b, x
a, b, y
a, c, a
a, c, i
a, c, j
a, c, o
a, c, x
a, d, i
a, d, x
a, d, y
a, e, c
a, e, d
a, e, g
a, e, i
a, e, l
a, e, m
a, e, n
a, e, o
a, e, r
a, e, s
a, e, t
a, f, e
a, f, f
a, f, q
a, f, x
a, g, h
a, g, i
a, g, n
a, g, o
a, g, q
a, g, x
a, g, y
a, h, a
a, h, e
a, h, i
a, h, o
a, h, x
a, h, y
a, i, a
a, i, e
a, i, g
a, i, k
a, i, m
a, i, o
a, i, p
a, i, t
a, k, a
a, k, i
a, k, o
a, k, x
a, k, y
a, k, z
a, l, f
a, l, k
a, l, m
a, l, o
a, l, t
a, l, x
a, m, b
a, m, i
a, m, o
a, m, q
a, m, x
a, o, l
a, o, n
a, o, r
a, o, s
a, o, u
a, p, a
a, p, i
a, p, o
a, p, q
a, p, t
a, p, x
a, p, z
a, r, b
a, r, g
a, r, l
a, r, m
a, r, n
a, r, o
a, r, p
a, r, r
a, r, u
a, r, x
a, s, a
a, s, i
a, s, k
a, s, o
a, s, x
a, s, y
a, t, q
a, t, t
a, t, u
a, t, x
a, t, y
a, t, z
a, u, b
a, u, d
a, u, e
a, u, g
a, u, k
a, u, l
a, u, m
a, u, n
a, u, p
a, u, r
a, u, t
a, u, x
a, w, a
a, w, l
a, w, n
a, w, q
a, w, x
a, x, j
a, x, y
a, y, a
a, y, e
a, y, l
a, y, n
b, a, b
b, a, c
b, a, d
b, a, e
b, a, f
b, a, g
b, a, h
b, a, i
b, a, k
b, a, m
b, a, n
b, a, o
b, a, p
b, a, t
b, a, u
b, a, w
b, a, x
b, a, y
b, e, a
b, e, c
b, e, e
b, e, f
b, e, g
b, e, h
b, e, i
b, e, k
b, e, m
b, e, n
b, e, o
b, e, p
b, e, t
b, e, w
b, e, x
b, e, y
b, e, z
b, i, b
b, i, d
b, i, e
b, i, g
b, i, i
b, i, k
b, i, l
b, i, m
b, i, o
b, i, p
b, i, r
b, i, s
b, i, t
b, i, x
b, o, a
b, o, b
b, o, c
b, o, d
b, o, e
b, o, f
b, o, g
b, o, i
b, o, k
b, o, l
b, o, m
b, o, n
b, o, o
b, o, p
b, o, r
b, o, s
b, o, t
b, o, u
b, o, v
b, o, w
b, o, y
b, s, a
b, s, e
b, s, h
b, s, i
b, s, k
b, s, m
b, s, o
b, s, t
b, s, x
b, s, y
b, x, j
b, x, y
b, y, a
b, y, e
b, y, l
b, y, n
b, y, s
c, a, b
c, a, c
c, a, d
c, a, e
c, a, f
c, a, g
c, a, h
c, a, i
c, a, k
c, a, m
c, a, o
c, a, p
c, a, r
c, a, t
c, a, u
c, a, w
c, a, y
c, e, a
c, e, c
c, e, e
c, e, f
c, e, g
c, e, h
c, e, i
c, e, k
c, e, l
c, e, m
c, e, n
c, e, o
c, e, p
c, e, t
c, e, w
c, e, y
c, h, o
c, h, t
c, h, x
c, i, b
c, i, e
c, i, g
c, i, i
c, i, l
c, i, m
c, i, o
c, i, p
c, i, r
c, i, s
c, i, t
c, j, a
c, j, q
c, j, x
c, j, z
c, k, a
c, k, e
c, k, i
c, k, o
c, k, x
c, k, z
c, o, a
c, o, b
c, o, c
c, o, d
c, o, e
c, o, f
c, o, g
c, o, i
c, o, k
c, o, l
c, o, m
c, o, o
c, o, p
c, o, r
c, o, t
c, o, u
c, o, v
c, o, w
c, o, x
c, o, y
c, s, i
c, s, o
c, s, t
c, s, x
c, t, a
c, t, e
c, t, h
c, t, i
c, t, o
c, t, q
c, t, u
c, t, x
c, t, y
c, x, j
c, x, y
c, y, a
c, y, e
c, y, l
c, y, n
c, y, s
d, a, b
d, a, c
d, a, d
d, a, f
d, a, g
d, a, h
d, a, i
d, a, k
d, a, m
d, a, o
d, a, p
d, a, t
d, a, u
d, a, w
d, a, x
d, a, y
d, e, c
d, e, e
d, e, f
d, e, g
d, e, h
d, e, i
d, e, k
d, e, m
d, e, o
d, e, p
d, e, t
d, e, w
d, e, x
d, e, y
d, e, z
d, i, b
d, i, d
d, i, g
d, i, i
d, i, k
d, i, l
d, i, m
d, i, o
d, i, p
d, i, r
d, i, t
d, i, x
d, o, a
d, o, b
d, o, c
d, o, d
d, o, e
d, o, f
d, o, g
d, o, i
d, o, k
d, o, l
d, o, o
d, o, p
d, o, t
d, o, u
d, o, v
d, o, w
d, o, x
d, o, y
d, s, a
d, s, e
d, s, h
d, s, i
d, s, k
d, s, m
d, s, o
d, s, t
d, s, x
d, x, j
d, x, y
d, y, a
d, y, e
d, y, l
d, y, n
d, y, s
e, a, b
e, a, c
e, a, f
e, a, g
e, a, h
e, a, p
e, a, w
e, c, a
e, c, h
e, c, i
e, c, j
e, c, o
e, c, s
e, c, x
e, c, y
e, d, a
e, d, i
e, d, o
e, d, x
e, d, y
e, e, a
e, e, c
e, e, f
e, e, h
e, e, i
e, e, k
e, e, m
e, e, w
e, e, x
e, e, z
e, f, e
e, f, f
e, f, q
e, f, s
e, f, t
e, f, x
e, f, y
e, g, a
e, g, e
e, g, h
e, g, i
e, g, n
e, g, o
e, g, q
e, g, s
e, g, x
e, g, y
e, h, a
e, h, e
e, h, i
e, h, o
e, h, x
e, h, y
e, i, a
e, i, b
e, i, c
e, i, d
e, i, e
e, i, g
e, i, k
e, i, l
e, i, m
e, i, o
e, i, p
e, i, r
e, i, s
e, i, t
e, k, a
e, k, e
e, k, i
e, k, o
e, k, s
e, k, x
e, k, z
e, l, f
e, l, i
e, l, k
e, l, m
e, l, o
e, l, x
e, m, b
e, m, i
e, m, o
e, m, p
e, m, q
e, m, x
e, m, y
e, n, g
e, n, i
e, n, k
e, n, n
e, n, o
e, o, a
e, o, b
e, o, c
e, o, d
e, o, e
e, o, f
e, o, g
e, o, i
e, o, l
e, o, m
e, o, p
e, o, r
e, o, s
e, o, t
e, o, u
e, o, x
e, p, a
e, p, e
e, p, h
e, p, i
e, p, o
e, p, q
e, p, t
e, p, x
e, p, y
e, p, z
e, r, b
e, r, d
e, r, i
e, r, k
e, r, l
e, r, p
e, r, r
e, r, u
e, r, x
e, s, a
e, s, h
e, s, i
e, s, k
e, s, m
e, s, o
e, s, x
e, s, y
e, t, i
e, t, o
e, t, q
e, t, u
e, t, x
e, t, z
e, w, a
e, w, l
e, w, q
e, w, x
e, x, j
e, x, y
e, y, a
e, y, e
e, y, l
e, y, n
e, z, a
e, z, e
e, z, o
e, z, x
f, e, a
f, e, c
f, e, e
f, e, f
f, e, g
f, e, h
