a, a, a, b
a, a, a, c
a, a, a, d
a, a, a, e
a, a, a, g
a, a, a, h
a, a, a, i
a, a, a, k
a, a, a, m
a, a, a, n
a, a, a, o
a, a, a, p
a, a, a, q
a, a, a, r
a, a, a, t
a, a, a, u
a, a, a, v
a, a, a, x
a, a, a, z
a, a, a, '
a, a, b, b
a, a, b, c
a, a, b, f
a, a, b, g
a, a, b, h
a, a, b, i
a, a, b, j
a, a, b, k
a, a, b, l
a, a, b, m
a, a, b, n
a, a, b, o
a, a, b, p
a, a, b, q
a, a, b, r
a, a, b, s
a, a, b, t
a, a, b, u
a, a, b, v
a, a, b, w
a, a, b, x
a, a, b, y
a, a, b, z
a, a, c, a
a, a, c, b
a, a, c, c
a, a, c, d
a, a, c, f
a, a, c, g
a, a, c, i
a, a, c, k
a, a, c, l
a, a, c, m
a, a, c, n
a, a, c, o
a, a, c, q
a, a, c, r
a, a, c, t
a, a, c, u
a, a, c, v
a, a, c, w
a, a, c, x
a, a, c, y
a, a, c, z
a, a, d, b
a, a, d, c
a, a, d, d
a, a, d, f
a, a, d, g
a, a, d, h
a, a, d, j
a, a, d, k
a, a, d, l
a, a, d, m
a, a, d, n
a, a, d, o
a, a, d, p
a, a, d, q
a, a, d, r
a, a, d, u
a, a, d, v
a, a, d, w
a, a, d, y
a, a, e, a
a, a, e, c
a, a, e, f
a, a, e, g
a, a, e, h
a, a, e, i
a, a, e, j
a, a, e, k
a, a, e, l
a, a, e, m
a, a, e, o
a, a, e, p
a, a, e, q
a, a, e, s
a, a, e, t
a, a, e, u
a, a, e, v
a, a, e, w
a, a, e, x
a, a, e, y
a, a, e, z
a, a, f, a
a, a, f, b
a, a, f, c
a, a, f, d
a, a, f, e
a, a, f, g
a, a, f, h
a, a, f, k
a, a, f, m
a, a, f, n
a, a, f, o
a, a, f, p
a, a, f, q
a, a, f, r
a, a, f, t
a, a, f, u
a, a, f, v
a, a, f, w
a, a, f, y
a, a, f, z
a, a, g, a
a, a, g, b
a, a, g, c
a, a, g, d
a, a, g, f
a, a, g, g
a, a, g, h
a, a, g, i
a, a, g, k
a, a, g, l
a, a, g, n
a, a, g, o
a, a, g, p
a, a, g, s
a, a, g, t
a, a, g, u
a, a, g, v
a, a, g, w
a, a, g, y
a, a, h, a
a, a, h, b
a, a, h, c
a, a, h, d
a, a, h, f
a, a, h, g
a, a, h, h
a, a, h, j
a, a, h, k
a, a, h, m
a, a, h, n
a, a, h, o
a, a, h, p
a, a, h, q
a, a, h, r
a, a, h, t
a, a, h, u
a, a, h, v
a, a, h, w
a, a, h, y
a, a, h, z
a, a, i, a
a, a, i, b
a, a, i, c
a, a, i, d
a, a, i, e
a, a, i, f
a, a, i, g
a, a, i, h
a, a, i, j
a, a, i, k
a, a, i, m
a, a, i, o
a, a, i, p
a, a, i, q
a, a, i, r
a, a, i, s
a, a, i, t
a, a, i, u
a, a, i, w
